FarmerID,Gender,Age,HaveHandPhone,isTrained,FarmSize (Hectare),FarmProduction (Kg),SalesQuota (Kg),Sales Last Year (Kg),Number of Farm,Number Of Trees,FarmerStatus
720404236101,Male,37,Yes,1,"1,5",770,975,,1,1300,Bad
720404239101,Male,51,Yes,1,"1,5",620,819,,1,1100,Bad
720404241101,Male,51,No,1,"1,5",760,975,,1,1250,Bad
720404243101,Female,44,Yes,1,2,870,1105,,1,1500,Good
720404245101,Male,55,Yes,1,4,830,975,,1,3600,Bad
720404246101,Male,44,Yes,1,2,840,975,,1,1180,Bad
720404247101,Male,62,Yes,1,3,1070,1170,,1,3000,Good
720404248101,Male,39,Yes,1,2,850,"1008,8",,1,1220,Good
720404249101,Male,80,Yes,1,2,760,975,,1,913,Bad
720404250101,Male,42,Yes,1,2,870,"1133,6",,1,1240,Good
720404251101,Male,63,Yes,1,"1,5",610,845,,1,980,Bad
720404252101,Male,48,Yes,1,2,760,975,,1,1310,Bad
720404253101,Male,49,Yes,1,3,570,845,,1,1690,Bad
720404254101,Male,47,Yes,1,2,580,845,,1,1500,Bad
720404255101,Male,69,Yes,1,"1,5",660,910,,1,1000,Bad
720404256101,Male,36,Yes,1,2,650,910,,1,1500,Bad
720404258101,Male,75,Yes,1,2,1080,1508,,1,1500,Good
720404260101,Male,33,Yes,1,"1,13",580,806,,1,1150,Bad
720404261101,Male,58,Yes,1,2,370,520,,1,1400,Bad
720404262101,Male,70,Yes,1,2,920,975,,1,1800,Bad
720404263101,Male,39,Yes,1,2,920,975,,1,1550,Bad
720404265101,Male,32,Yes,1,2,720,975,,1,1100,Bad
720404269101,Male,49,Yes,1,2,620,728,,1,1450,Bad
720404270101,Male,34,Yes,1,"2,5",1060,1170,,1,2100,Good
720404426101,Male,45,Yes,1,"1,5",688,910,,1,1300,Bad
720404428101,Male,52,Yes,1,"1,5",600,806,,1,915,Bad
720404439101,Male,42,Yes,1,"1,5",550,741,,1,750,Bad
720404497101,Male,65,Yes,1,2,230,312,,1,500,Bad
720404592101,Male,46,Yes,1,"1,5",476,637,,1,1100,Bad
720404616101,Male,31,Yes,1,2,920,1222,,1,1600,Good
720404617101,Male,40,Yes,1,2,760,1014,,1,1600,Good
720404628101,Male,68,Yes,1,2,950,1248,,1,1100,Good
720404675101,Male,45,Yes,1,"1,5",440,598,,1,570,Bad
720404711101,Male,59,Yes,1,"1,3",260,"344,5",,1,300,Bad
720404732101,Male,46,Yes,1,2,690,949,,1,1500,Bad
720404737101,Male,53,Yes,1,2,780,1079,,1,1600,Good
720404744101,Male,71,Yes,1,"1,5",580,819,,1,1300,Bad
720404745101,Male,49,Yes,1,"1,5",540,780,,1,1200,Bad
720404749101,Male,37,Yes,1,2,780,1079,,1,1600,Good
720404750101,Male,43,Yes,1,"1,5",580,806,,1,1200,Bad
720404754101,Male,40,Yes,1,2,706,975,,1,1500,Bad
720404863101,Male,72,Yes,1,2,730,988,,1,1400,Bad
720404868101,Male,55,No,1,2,700,949,,1,1400,Bad
720404879101,Male,45,Yes,1,2,1400,1820,,1,1700,Good
720404905101,Male,51,Yes,1,"1,5",500,676,,1,1000,Bad
720404920101,Female,53,Yes,1,"1,5",480,650,,1,1000,Bad
720405009101,Male,62,No,1,"1,5",500,676,,1,750,Bad
720405018101,Male,55,Yes,1,"1,5",488,676,,1,1300,Bad
720405026101,Male,50,Yes,1,2,630,845,,1,1600,Bad
720405028101,Female,55,Yes,1,"1,5",520,715,,1,1200,Bad
720405029101,Male,57,Yes,1,"1,5",620,845,,1,1000,Bad
720405031101,Male,37,Yes,1,2,620,845,,1,1400,Bad
720405071101,Male,55,Yes,1,"1,5",310,416,,1,150,Bad
720405072101,Male,45,Yes,1,"1,5",1020,1105,,1,1000,Good
720405075101,Female,35,Yes,1,"1,5",340,455,,1,700,Bad
720405084101,Male,58,Yes,1,2,580,780,,1,1350,Bad
720405088101,Male,54,Yes,1,2,500,676,,1,450,Bad
720405091101,Male,56,No,1,2,880,1170,,1,1100,Good
720405094101,Male,51,No,1,2,800,1066,,1,900,Good
720405102101,Male,40,No,1,2,1176,1560,,1,2000,Good
